id,topicId,question,optionA,optionB,optionC,answer,explanation,pdfFile,pdfPage
711,7,Crest factor is ratio of:,Peak to RMS,RMS to Average,Average to Peak,Peak to RMS,Peakiness.,EE2101 - W10_Sinusoids and Phasors.pdf,42
712,7,Impedance Z is vector sum of:,Resistance and Reactance,R and L,V and I,Resistance and Reactance,Z = R + jX.,EE2101 - W10_Sinusoids and Phasors.pdf,82
713,7,Real power P unit:,Watt (W),VAR,VA,Watt (W),Active power.,EE2101 - W10_Sinusoids and Phasors.pdf,31
714,7,Reactive power Q unit:,Volt-Ampere Reactive (VAR),Watt,Joule,Volt-Ampere Reactive (VAR),Stored/returned power.,EE2101 - W10_Sinusoids and Phasors.pdf,5
715,7,Apparent power S unit:,Volt-Ampere (VA),Watt,VAR,Volt-Ampere (VA),Total power magnitude.,EE2101 - W10_Sinusoids and Phasors.pdf,5
716,7,Power Factor (PF) is:,P / S (Real/Apparent),Q / S,S / P,P / S (Real/Apparent),cos(theta).,EE2101 - W10_Sinusoids and Phasors.pdf,5
717,7,PF is also equal to:,cos(impedance angle),sin(angle),tan(angle),cos(impedance angle),Time shift cosine.,EE2101 - W10_Sinusoids and Phasors.pdf,68
718,7,"For purely resistive load, PF is:",1 (Unity),0,0.5,1 (Unity),V and I in phase.,EE2101 - W10_Sinusoids and Phasors.pdf,1
719,7,"For purely inductive load, PF is:",0 Lagging,0 Leading,1,0 Lagging,Current lags voltage.,EE2101 - W10_Sinusoids and Phasors.pdf,55
720,7,"For purely capacitive load, PF is:",0 Leading,0 Lagging,1,0 Leading,Current leads voltage.,EE2101 - W10_Sinusoids and Phasors.pdf,55
721,7,Resonance occurs when:,Xl = Xc,R = 0,Z = infinity,Xl = Xc,Reactances cancel.,EE2101 - W10_Sinusoids and Phasors.pdf,1
722,7,"At series resonance, Impedance is:",Minimum (R),Maximum,Zero,Minimum (R),Series LC short.,EE2101 - W10_Sinusoids and Phasors.pdf,67
723,7,"At parallel resonance, Impedance is:",Maximum,Minimum,Zero,Maximum,Tank circuit open.,EE2101 - W10_Sinusoids and Phasors.pdf,67
724,7,Phasor representation requires:,Same frequency,Same amplitude,DC,Same frequency,Rotating vectors.,EE2101 - W10_Sinusoids and Phasors.pdf,21
725,7,Phasor length represents:,RMS or Peak value,Frequency,Phase,RMS or Peak value,Magnitude.,EE2101 - W10_Sinusoids and Phasors.pdf,21
726,7,Phase angle represents:,Time shift,Frequency shift,Amplitude shift,Time shift,Relative timing.,EE2101 - W10_Sinusoids and Phasors.pdf,18
727,7,Complex power S is:,V_rms * conj(I_rms),V * I,P + Q,V_rms * conj(I_rms),S = P + jQ.,EE2101 - W10_Sinusoids and Phasors.pdf,24
728,7,Skin effect causes resistance to:,Increase with frequency,Decrease with frequency,Stay constant,Increase with frequency,Current crowds surface.,EE2101 - W10_Sinusoids and Phasors.pdf,55
729,7,DC can be transformed by:,Chopper/Converter,Transformer,Capacitor,Chopper/Converter,Review DC-DC.,EE2101 - W10_Sinusoids and Phasors.pdf,1
730,7,Transformers work only with:,AC,DC,Static electricity,AC,Need changing flux.,EE2101 - W10_Sinusoids and Phasors.pdf,64
731,7,Rectifier converts:,AC to DC,DC to AC,AC to AC,AC to DC,Diode bridge.,EE2101 - W10_Sinusoids and Phasors.pdf,1
732,7,Inverter converts:,DC to AC,AC to DC,DC to DC,DC to AC,Solar/Battery app.,EE2101 - W10_Sinusoids and Phasors.pdf,1
733,7,Triac controls:,AC power,DC power,Logic,AC power,Bidirectional switch.,EE2101 - W10_Sinusoids and Phasors.pdf,1
734,7,Capacitor in DC circuit is:,Open (after charge),Short,Source,Open (after charge),Blocks DC.,EE2101 - W10_Sinusoids and Phasors.pdf,4
735,7,Inductor in DC circuit is:,Short (wire),Open,Resistor,Short (wire),Passes DC.,EE2101 - W10_Sinusoids and Phasors.pdf,4
736,7,Why AC for transmission?,Easy voltage step up/down,Safer,Faster electrons,Easy voltage step up/down,Reduced losses.,EE2101 - W10_Sinusoids and Phasors.pdf,1
737,7,Corona loss occurs in:,High voltage AC lines,DC low voltage,Batteries,High voltage AC lines,Ionization.,EE2101 - W10_Sinusoids and Phasors.pdf,1
738,7,Ferranti effect causes:,Receiving end V > Sending end V,Voltage drop,Frequency drop,Receiving end V > Sending end V,Load line capacitance.,EE2101 - W10_Sinusoids and Phasors.pdf,1
739,7,Power factor correction uses:,Capacitor banks,Inductors,Resistors,Capacitor banks,Offset inductive lag.,EE2101 - W10_Sinusoids and Phasors.pdf,5
740,7,Joule heating formula:,I^2 R t,V I,C V^2,I^2 R t,Heat energy.,EE2101 - W10_Sinusoids and Phasors.pdf,1
741,7,Max value of sine is at:,90 degrees,0 degrees,180 degrees,90 degrees,Peak.,EE2101 - W10_Sinusoids and Phasors.pdf,7
742,7,Derivative of sine is:,Cosine,-Cosine,Sine,Cosine,Inductive voltage.,EE2101 - W10_Sinusoids and Phasors.pdf,16
743,7,Admittance Y is:,1/Z,1/R,Z^2,1/Z,Inverse impedance.,EE2101 - W10_Sinusoids and Phasors.pdf,53
744,7,Susceptance B is imaginary part of:,Admittance,Impedance,Power,Admittance,Y = G + jB.,EE2101 - W10_Sinusoids and Phasors.pdf,31
745,7,Harmonics are multiples of:,Fundamental frequency,DC,Amplitude,Fundamental frequency,Distortion.,EE2101 - W10_Sinusoids and Phasors.pdf,1
746,7,Total Harmonic Distortion (THD) measures:,Waveform purity,Power,Phase,Waveform purity,Ratio of harmonics.,EE2101 - W10_Sinusoids and Phasors.pdf,1
747,7,Square wave RMS is:,Peak value,Peak/sq(2),0,Peak value,Area/Time.,EE2101 - W10_Sinusoids and Phasors.pdf,22
748,7,Symmetrical components used for:,Unbalanced polyphase,DC,Single phase,Unbalanced polyphase,Fortescue.,EE2101 - W10_Sinusoids and Phasors.pdf,60
749,7,Kirchhoff laws in AC apply to:,Phasors/Instantaneous values,RMS values only,Amplitudes only,Phasors/Instantaneous values,Vector sum.,EE2101 - W10_Sinusoids and Phasors.pdf,63
750,7,Bandwidth of RLC circuit depends on:,Resistance,Source V,Time,Resistance,"Higher R -> Wider (in parallel), Narrower (in series).",EE2101 - W10_Sinusoids and Phasors.pdf,4
801,8,Standard phase shift in 3-phase:,120 degrees,90 degrees,180 degrees,120 degrees,Phases are separated by 360° / 3 = 120° for balanced operation.,EE2101 - W13_Three-Phase Circuits.pdf,7
802,8,Sequence ABC is:,Positive Sequence,Negative Sequence,Zero Sequence,Positive Sequence,Standard rotation.,EE2101 - W13_Three-Phase Circuits.pdf,82
803,8,Sequence CBA is:,Negative Sequence,Positive Sequence,Zero Sequence,Negative Sequence,Reverse rotation.,EE2101 - W13_Three-Phase Circuits.pdf,82
804,8,Wye (Star) connection symbol:,Y,Delta,Pi,Y,Shape.,EE2101 - W13_Three-Phase Circuits.pdf,20
805,8,Delta (Mesh) connection symbol:,Triangle,Y,T,Triangle,Greek Delta.,EE2101 - W13_Three-Phase Circuits.pdf,20
806,8,"In balanced Y, Line Voltage = ?",sq(3) * Phase Voltage,Phase Voltage,3 * Phase Voltage,sq(3) * Phase Voltage,Line voltage V_L = √3 × V_ph and leads by 30°.,EE2101 - W13_Three-Phase Circuits.pdf,7
807,8,"In balanced Y, Line Current = ?",Phase Current,sq(3) * Phase Current,Phase Current / 3,Phase Current,"In Wye (Y), the line conductor is directly connected to the phase winding, so I_L = I_ph.",EE2101 - W13_Three-Phase Circuits.pdf,7
808,8,"In balanced Delta, Line Voltage = ?",Phase Voltage,sq(3) * Phase Voltage,0,Phase Voltage,"In Delta, the line conductors are connected directly across the phase windings, so V_L = V_ph.",EE2101 - W13_Three-Phase Circuits.pdf,7
809,8,"In balanced Delta, Line Current = ?",sq(3) * Phase Current,Phase Current,Phase Current / sq(3),sq(3) * Phase Current,"Line current is the vector sum of two phase currents, resulting in I_L = √3 × I_ph.",EE2101 - W13_Three-Phase Circuits.pdf,7
810,8,Neutral current in balanced Y system:,Zero,Max,Line Current,Zero,The vector sum of three balanced currents 120° apart is exactly zero.,EE2101 - W13_Three-Phase Circuits.pdf,71
811,8,Total power in balanced 3-phase (Line values):,sq(3) Vl Il cos(theta),3 Vl Il cos(theta),Vl Il,sq(3) Vl Il cos(theta),P = √3 × V_L × I_L × Power Factor.,EE2101 - W13_Three-Phase Circuits.pdf,7
812,8,Total power in balanced 3-phase (Phase values):,3 Vp Ip cos(theta),sq(3) Vp Ip,Vp Ip,3 Vp Ip cos(theta),P = 3 × V_ph × I_ph × Power Factor (Sum of 3 individual phases).,EE2101 - W13_Three-Phase Circuits.pdf,7
813,8,Two-Wattmeter method measures:,Total 3-phase power,Reactive power only,Line voltage,Total 3-phase power,Valid for balanced/unbalanced 3-wire.,EE2101 - W13_Three-Phase Circuits.pdf,81
814,8,One wattmeter reads 0 if PF is:,0.5,1,0,0.5,60 degree phase shift.,EE2101 - W13_Three-Phase Circuits.pdf,30
815,8,Wattmeters read equal if PF is:,1 (Unity),0,0.5,1 (Unity),Resistive load.,EE2101 - W13_Three-Phase Circuits.pdf,86
816,8,Advantages of 3-phase:,"Constant power, less copper",Simpler to wire,Lower voltage,"Constant power, less copper",Efficient transmission.,EE2101 - W13_Three-Phase Circuits.pdf,7
817,8,Instantaneous power in balanced 3-phase is:,Constant (DC like),Pulsating,Zero,Constant (DC like),No vibration in motors.,EE2101 - W13_Three-Phase Circuits.pdf,7
818,8,Phase voltage implies voltage between:,Line and Neutral,Line and Line,Line and Ground,Line and Neutral,In Y-system.,EE2101 - W13_Three-Phase Circuits.pdf,7
819,8,Line voltage implies voltage between:,Line and Line,Line and Neutral,Ground,Line and Line,Standard spec.,EE2101 - W13_Three-Phase Circuits.pdf,7
820,8,"In a balanced 3-phase system, the sum of instantaneous voltages is:",Zero,Maximum,Infinite,Zero,Phasor sum is 0.,EE2101 - W13_Three-Phase Circuits.pdf,7
821,8,The Neutral point in a Star (Y) connection is:,Common point of 3 windings,Line connection,Floating,Common point of 3 windings,Vector sum point.,EE2101 - W13_Three-Phase Circuits.pdf,20
822,8,Grounding (Earthing) is primarily used for:,Safety and Protection,Voltage boosting,Current blocking,Safety and Protection,Prevents shock/fire.,EE2101 - W13_Three-Phase Circuits.pdf,1
823,8,Single phase from 3-phase is obtained via:,Line to Neutral,3 lines combined,Rectifier,Line to Neutral,V_ln.,EE2101 - W13_Three-Phase Circuits.pdf,7
824,8,Alternator rotor is:,Electro-magnet,Resistor,Capacitor,Electro-magnet,Field winding.,EE2101 - W13_Three-Phase Circuits.pdf,9
825,8,Stator carries:,Armature windings (AC),DC field,Commutator,Armature windings (AC),Stationary coils.,EE2101 - W13_Three-Phase Circuits.pdf,9
826,8,Frequency depends on:,Speed and Poles,Voltage,Current,Speed and Poles,f = P*N/120.,EE2101 - W13_Three-Phase Circuits.pdf,5
827,8,Unbalanced load causes:,Neutral current,Zero sequence current,Both A and B,Both A and B,Asymmetry.,EE2101 - W13_Three-Phase Circuits.pdf,71
828,8,Delta connection has no:,Neutral point,Line current,Power,Neutral point,Loop.,EE2101 - W13_Three-Phase Circuits.pdf,20
829,8,Y-Delta transform is also:,T-Pi transform,Star-Mesh,Both,Both,Equivalence.,EE2101 - W13_Three-Phase Circuits.pdf,19
830,8,Zigzag transformer gives:,Grounding reference,Voltage boost,DC,Grounding reference,Earthing transformer.,EE2101 - W13_Three-Phase Circuits.pdf,74
831,8,Third harmonics in 3-phase cancel in:,Delta connection lines,Y connection phases,None,Delta connection lines,Circulate in Delta.,EE2101 - W13_Three-Phase Circuits.pdf,7
832,8,Synchronous motor speed:,Constant,Variable,Zero,Constant,Locked to freq.,EE2101 - W13_Three-Phase Circuits.pdf,70
833,8,Induction motor slip:,Difference between sync and rotor speed,Efficiency,Friction,Difference between sync and rotor speed,Normally 2-5%.,EE2101 - W13_Three-Phase Circuits.pdf,70
834,8,Power factor improvement capacitor is connected in:,Parallel (Shunt),Series,Bridge,Parallel (Shunt),Supplies VARs locally.,EE2101 - W13_Three-Phase Circuits.pdf,80
835,8,V-curve of synchronous motor plots:,Armature current vs Field current,Speed vs Torque,V vs I,Armature current vs Field current,Min current at Unity PF.,EE2101 - W13_Three-Phase Circuits.pdf,70
836,8,Per-unit system normalizes values to:,Base value,100,Grid voltage,Base value,Simplifies calcs.,EE2101 - W13_Three-Phase Circuits.pdf,71
837,8,Fault analysis usually assumes:,Symmetrical components,DC analysis,Steady state,Symmetrical components,For unbalanced faults.,EE2101 - W13_Three-Phase Circuits.pdf,87
838,8,Line-to-Ground fault is:,Most common,Rarest,Most severe,Most common,70-80% of faults.,EE2101 - W13_Three-Phase Circuits.pdf,26
839,8,3-phase Short circuit is:,Most severe (usually),Most common,Zero current,Most severe (usually),Highest magnitude.,EE2101 - W13_Three-Phase Circuits.pdf,7
840,8,Busbar is:,Common connection point,Resistor,Insulator,Common connection point,Node.,EE2101 - W13_Three-Phase Circuits.pdf,1
841,8,Surge impedance loading (SIL) is:,Natural power limit of line,Max thermal limit,Min power,Natural power limit of line,V^2 / Z_surge.,EE2101 - W13_Three-Phase Circuits.pdf,89
842,8,Infinite bus has:,Constant V and f,Infinite R,Zero Power,Constant V and f,Ideal grid.,EE2101 - W13_Three-Phase Circuits.pdf,1
843,8,Relays allow:,Control of high power with low power,Speed control,Amplification,Control of high power with low power,Switching.,EE2101 - W13_Three-Phase Circuits.pdf,1
844,8,CT stands for:,Current Transformer,Center Tap,Control Timer,Current Transformer,Instrument transformer.,EE2101 - W13_Three-Phase Circuits.pdf,1
845,8,PT stands for:,Potential Transformer,Power Timer,Phase Tester,Potential Transformer,Steps down voltage.,EE2101 - W13_Three-Phase Circuits.pdf,1
846,8,Isolator is operated:,Off-load,On-load,During fault,Off-load,No arc chute.,EE2101 - W13_Three-Phase Circuits.pdf,1
847,8,Circuit Breaker is operated:,On-load/Fault,Off-load only,Never,On-load/Fault,Can break arc.,EE2101 - W13_Three-Phase Circuits.pdf,87
848,8,Fuse provides protection against:,Overcurrent/Short circuit,Undervoltage,Frequency shift,Overcurrent/Short circuit,Melts.,EE2101 - W13_Three-Phase Circuits.pdf,1
849,8,Grid synchronization requires matching:,"Voltage, Freq, Phase sequence, Phase angle",Voltage only,Power only,"Voltage, Freq, Phase sequence, Phase angle",All must match.,EE2101 - W13_Three-Phase Circuits.pdf,1
850,8,Transmission voltages are high to:,Reduce I (Current) and I^2R loss,Increase current,Look cool,Reduce I (Current) and I^2R loss,Efficiency.,EE2101 - W13_Three-Phase Circuits.pdf,7
1001,1,Which passive sign convention statement is correct?,Current entering + terminal absorbs power,Current entering + terminal delivers power,Current leaving + terminal absorbs power,Current entering + terminal absorbs power,"According to Passive Sign Convention, if current enters the positive voltage terminal, the element absorbs power (P>0).",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,20
1002,1,The algebraic sum of currents entering a node is zero. This statement confirms:,Conservation of Power,Conservation of Flux,Conservation of Charge,Conservation of Charge,"KCL implies that charge cannot accumulate at a node, reflecting the Conservation of Charge.",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,30
1003,1,"In a linear circuit, if all source voltages are doubled, the currents:",Remain same,Double,Quadruple,Double,Linearity property (Homogeneity): Scaling inputs scales outputs by the same factor.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,6
1004,1,"Ideally, a Voltmeter should have internal resistance:",Zero,Infinite,1 kOhm,Infinite,"To measure potential difference without drawing current (loading the circuit), R_in must be infinite.",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,25
1005,1,"Ideally, an Ammeter should have internal resistance:",Zero,Infinite,1 kOhm,Zero,"To measure current without causing a voltage drop (altering the circuit), R_in must be zero.",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,25
4001,4,"In an ideal op-amp with negative feedback, V+ equals V- because of:",Infinite Input Impedance,Infinite Open Loop Gain,Zero Output Impedance,Infinite Open Loop Gain,Infinite gain implies that any finite output requires the input difference (V+ - V-) to be effectively zero.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,2
4002,4,The output of a Comparator depends on:,The rate of change of input,The sign of (V+ minus V-),The absolute sum of inputs,The sign of (V+ minus V-),"It swings to Positive Rail if V+ > V-, and Negative Rail if V- > V+.",EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
4003,4,What happens if you use Positive Feedback in an Op-Amp?,Generally causes oscillation or saturation,Stabilizes the gain,Increases bandwidth,Generally causes oscillation or saturation,"Positive feedback reinforces changes, leading to hysteresis (Schmitt Trigger) or oscillation.",EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,7
4004,4,The Slew Rate of an op-amp defines the maximum:,Output voltage swing,Output current,Rate of change of output voltage,Rate of change of output voltage,"Measured in V/µs, it limits how fast the output can change in response to a step input.",EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,2
4005,4,Common Mode Rejection Ratio (CMRR) is the ratio of:,Differential Gain to Common Mode Gain,Output to Input,Signal to Noise,Differential Gain to Common Mode Gain,High CMRR means the op-amp amplifies the difference while ignoring noise common to both inputs.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
2001,2,"In a DC steady state circuit, an ideal Inductor acts as a:",Short Circuit,Open Circuit,Resistor,Short Circuit,"Since v = L(di/dt), and current is constant in DC (di/dt=0), the voltage is zero, implying a short circuit.",EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
2002,2,"In a DC steady state circuit, an ideal Capacitor acts as a:",Open Circuit,Short Circuit,Switch,Open Circuit,"Since i = C(dv/dt), and voltage is constant in DC (dv/dt=0), the current is zero, implying an open circuit.",EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
2003,2,The energy stored in a capacitor is given by:,1/2 C V^2,1/2 C Q^2,C V,1/2 C V^2,Energy is proportional to capacitance and the square of the voltage.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
2004,2,Two Inductors L1 and L2 in parallel have equivalent inductance:,(L1 * L2) / (L1 + L2),L1 + L2,L1 - L2,(L1 * L2) / (L1 + L2),Inductors combine like resistors: product over sum for two in parallel.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,5
2005,2,Two Capacitors C1 and C2 in series have equivalent capacitance:,(C1 * C2) / (C1 + C2),C1 + C2,C1 - C2,(C1 * C2) / (C1 + C2),Capacitors in series combine inversely (like resistors in parallel).,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,22
3001,3,The Time Constant (tau) of an RL circuit is:,L / R,R / L,L * R,L / R,It represents the time to decay to ~36.8% or rise to ~63.2% of the final value.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,16
3002,3,"For a step response, the circuit is considered 'settled' after approximately:",5 time constants,1 time constant,10 time constants,5 time constants,"After 5τ, the response is >99.3% complete.",EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,6
3003,3,Which state variable cannot change instantaneously?,Voltage across a Capacitor,Current through a Resistor,Voltage across a Resistor,Voltage across a Capacitor,Capacitor voltage relates to stored energy (1/2 CV^2); instant change would require infinite power.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,1
3004,3,Which state variable cannot change instantaneously?,Current through an Inductor,Voltage across an Inductor,Current through a Resistor,Current through an Inductor,Inductor current relates to stored magnetic energy (1/2 LI^2); instant change would require infinite voltage.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,1
3005,3,The 'Natural Response' of a circuit is due to:,Initial stored energy,External voltage source,External current source,Initial stored energy,It describes how the circuit relaxes from its initial state to zero without external forcing.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,6
8001,8,"In a balanced Wye (Star) connected system, the Line Voltage is:",Equal to Phase Voltage,Sqrt(3) times Phase Voltage,3 times Phase Voltage,Sqrt(3) times Phase Voltage,V_line leads V_phase by 30 degrees and is larger by a factor of root-3.,EE2101 - W13_Three-Phase Circuits.pdf,7
8002,8,"In a balanced Delta connected system, the Line Current is:",Equal to Phase Current,Sqrt(3) times Phase Current,3 times Phase Current,Sqrt(3) times Phase Current,I_line lags I_phase by 30 degrees and is larger by a factor of root-3.,EE2101 - W13_Three-Phase Circuits.pdf,71
8003,8,The total Active Power (P) in a balanced three-phase system is given by:,3 * V_line * I_line,Sqrt(3) * V_line * I_line * cos(theta),V_line * I_line * cos(theta),Sqrt(3) * V_line * I_line * cos(theta),"Using line values, the factor is root-3. Using phase values, it would be 3.",EE2101 - W13_Three-Phase Circuits.pdf,71
8004,8,"If one phase of a balanced three-phase motor is lost (single-phasing), what happens?",Motor stops immediately,Motor continues to run but may overheat,Motor speeds up,Motor continues to run but may overheat,It draws excessive current in the remaining phases to maintain torque.,EE2101 - W13_Three-Phase Circuits.pdf,7
8005,8,The neutral current in a perfectly balanced Wye system is:,Equal to Line Current,Zero,Infinite,Zero,The vector sum of three equal currents spaced 120 degrees apart is zero.,EE2101 - W13_Three-Phase Circuits.pdf,71
1101,1,"According to Ulaby/Maharbiz, the two complementary tasks of circuit theory are:",Analysis and Synthesis,Design and Fabrication,Passive and Active,Analysis and Synthesis,Analysis relates output to input; Synthesis (Design) works backwards from specs to circuit.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,2
1102,1,Which device is defined as 'Active' in the text?,Resistor,Transistor/IC,Capacitor,Transistor/IC,"Active devices (like transistors) require an external power source to function, unlike passive R, L, C.",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,6
1103,1,Technolgy Brief 1 mentions Nanotechnology. What scale is a nanometer?,10^-6 m,10^-9 m,10^-12 m,10^-9 m,Nano means one-billionth (10^-9) of a meter.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,1
4101,4,Application Note 4-12 discusses Neural Probes. These primarily use which circuit?,Voltage Follower,Integrator,Differentiator,Voltage Follower,Used to buffer the high-impedance neural signals before transmission.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
4102,4,"In the Ideal Op-Amp model (Section 4-3), the input current is:",Zero,Infinite,Defined by load,Zero,Infinite input impedance implies zero input current flowing into V+ or V-.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,2
4103,4,Technology Brief 9 discusses Display Technologies. Which is NOT a display type mentioned?,LCD,LED,CRT,CRT,"Modern displays focus on LCD, LED, and OLED technologies.",EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
8101,8,"Chapter 10: In a balanced Wye-Wye system, the line voltage magnitude is:",V_phase,Sqrt(3) * V_phase,3 * V_phase,Sqrt(3) * V_phase,V_line = √3 × V_phase.,EE2101 - W13_Three-Phase Circuits.pdf,7
8102,8,TB26 'Inside a Power Generating Station' describes generators as:,DC Dynamos,Synchronous Machines,Induction Motors,Synchronous Machines,Large scale power generation uses synchronous alternators.,EE2101 - W13_Three-Phase Circuits.pdf,80
8103,8,Section 10-6: Power Factor Compensation usually involves adding:,Inductors,Capacitors,Resistors,Capacitors,Capacitors are added in parallel to counteract the inductive lag of motors/loads.,EE2101 - W13_Three-Phase Circuits.pdf,80
